wavelength_nm,pct_reflect
350.0,0.03064721176067047
351.0,0.046079998930972484
352.0,0.029482026689256632
353.0,0.032226182644962326
354.0,0.04317334678170759
355.0,0.05452417315580947
356.0,0.06494117227683581
357.0,0.05133045195916316
358.0,0.052746006589865765
359.0,0.07422271291445831
360.0,0.0695925794217953
361.0,0.06294072999967244
362.0,0.060811560297294356
363.0,0.061760360105416086
364.0,0.05601998440854129
365.0,0.056605045777404744
366.0,0.05923197988815295
367.0,0.05854486902254274
368.0,0.05757335179144257
369.0,0.06031091496968789
370.0,0.06189869114241886
371.0,0.05711979773864849
372.0,0.05390559488609598
373.0,0.05449744366963605
374.0,0.055830302022562554
375.0,0.05268996491356916
376.0,0.05396799026174608
377.0,0.05536570168288337
378.0,0.05457414980917854
379.0,0.0540455874271544
380.0,0.05318291253785107
381.0,0.05293359982184101
382.0,0.05373412072199724
383.0,0.05406518127652633
384.0,0.05409790955164127
385.0,0.05406161829076309
386.0,0.05408691917827056
387.0,0.05347243563118082
388.0,0.05385174166131335
389.0,0.054825572366085956
390.0,0.05452331606694261
391.0,0.054269376179655944
392.0,0.05409716643131692
393.0,0.05402587293202304
394.0,0.0543125085600211
395.0,0.05470959080107327
396.0,0.05466896854934741
397.0,0.05414968494438695
398.0,0.05471655045407127
399.0,0.05464109025944498
400.0,0.054344979009241026
401.0,0.054734446774027674
402.0,0.05407966788123385
403.0,0.05359849465290958
404.0,0.05368555908868003
405.0,0.053869515608963615
406.0,0.053459478183780156
407.0,0.053121152382728375
408.0,0.05318273826252056
409.0,0.053158682923920834
410.0,0.053203022279236095
411.0,0.0530419915625767
412.0,0.05256314164300221
413.0,0.05238085878124961
414.0,0.05222503067693749
415.0,0.051981450176726465
416.0,0.05168723706646283
417.0,0.05179399874010729
418.0,0.05187703014450898
419.0,0.05169276980699103
420.0,0.05127220218920418
421.0,0.051370412576985255
422.0,0.05148844504825476
423.0,0.05128297720199894
424.0,0.051038167392859525
425.0,0.05106067500371066
426.0,0.051092224683871236
427.0,0.05089628065197158
428.0,0.05096921322782234
429.0,0.05101619714415855
430.0,0.05098623684111253
431.0,0.05096590602389924
432.0,0.050839243436936285
433.0,0.0507038555897964
434.0,0.05065462478522639
435.0,0.05075162597343338
436.0,0.050821089339497055
437.0,0.05078370475863796
438.0,0.050651273093773604
439.0,0.05057866984606203
440.0,0.050591754910482685
441.0,0.05059924694621141
442.0,0.050509740405583335
443.0,0.0505232647237281
444.0,0.05047464668568779
445.0,0.05038587343837178
446.0,0.050438603311489624
447.0,0.0504033551840509
448.0,0.05037512469421038
449.0,0.050408004778240145
450.0,0.050385425857132
451.0,0.05032238807359584
452.0,0.05027051264814901
453.0,0.050272978304692045
454.0,0.05028713716205934
455.0,0.05027706035357964
456.0,0.05023483265444903
457.0,0.05017521575039273
458.0,0.05011865062996882
459.0,0.05007808213235344
460.0,0.05006520855951766
461.0,0.05009212417474407
462.0,0.0501628005871014
463.0,0.05020920697758493
464.0,0.05019289083910115
465.0,0.05022918307229635
466.0,0.05024811072195094
467.0,0.050258812174044785
468.0,0.05030898465283717
469.0,0.050385783034556424
470.0,0.050450958240883546
471.0,0.05051359657035361
472.0,0.050640062096998346
473.0,0.05069567257388049
474.0,0.050742601667301115
475.0,0.050852827184091204
476.0,0.051009550779149336
477.0,0.05109673217263927
478.0,0.05113260130412719
479.0,0.05120081977141833
480.0,0.05133822483222976
481.0,0.0515011160094118
482.0,0.051655186198800065
483.0,0.05178668591981106
484.0,0.05191487280703707
485.0,0.052053456591263036
486.0,0.05219708010548138
487.0,0.052290688759474055
488.0,0.05244268394985752
489.0,0.05262964225487126
490.0,0.05277413994707415
491.0,0.052824241217844826
492.0,0.05289705896592628
493.0,0.053028438846301776
494.0,0.05316771672501776
495.0,0.0533432361212506
496.0,0.05347369045155243
497.0,0.05354612593287129
498.0,0.05374153853700004
499.0,0.05385676511693675
500.0,0.053985042142409345
501.0,0.054245664692768106
502.0,0.05432398441620972
503.0,0.05446279517786422
504.0,0.05471503244324961
505.0,0.05494568990937717
506.0,0.05512231517638377
507.0,0.05534726860020505
508.0,0.05566987314267372
509.0,0.05599024993359122
510.0,0.05628850354434213
511.0,0.05664737606605123
512.0,0.05713205187785931
513.0,0.05753748705629742
514.0,0.058026984981985955
515.0,0.05863610001848091
516.0,0.05928727344739677
517.0,0.06004059531644209
518.0,0.06081471616850416
519.0,0.06160513200270329
520.0,0.06259372449573378
521.0,0.06362727895429922
522.0,0.06475341410600918
523.0,0.06604803650078195
524.0,0.06740765879819995
525.0,0.06886461040978008
526.0,0.07045914423679886
527.0,0.07222516387023832
528.0,0.07406302642956493
529.0,0.07598901078756362
530.0,0.07803442761672649
531.0,0.08021261431108605
532.0,0.0825665125381954
533.0,0.08509611161948545
534.0,0.08776542557877469
535.0,0.09048870888884504
536.0,0.09333164152987798
537.0,0.09633406332184781
538.0,0.09950909846813621
539.0,0.10290072881348748
540.0,0.10649862140434968
541.0,0.11025536482843645
542.0,0.1141139395765512
543.0,0.11774762490857567
544.0,0.12100664443848226
545.0,0.12383390362245048
546.0,0.1262148202004423
547.0,0.1283122412300232
548.0,0.1302934285611936
549.0,0.1323127460815986
550.0,0.1343441707220876
551.0,0.13629335406162377
552.0,0.13808657871285002
553.0,0.13971124413546313
554.0,0.1411860912803772
555.0,0.14253585445518122
556.0,0.1437919011351304
557.0,0.14499546370271008
558.0,0.14611452332337826
559.0,0.14715082881664385
560.0,0.14813747361479782
561.0,0.14908067328933364
562.0,0.14998871853857407
563.0,0.15086322081529943
